x1,y1,z1,x2,y2,z2
-928.717,-1038.790,23.493,-930.285,-1038.672,23.746
-928.732,-1038.809,24.252,-930.387,-1038.594,22.469
-928.784,-1038.819,21.417,-929.875,-1038.771,21.327
-928.764,-1038.788,23.587,-930.231,-1038.644,23.603
-928.687,-1038.784,22.729,-929.352,-1038.867,23.392
-928.174,-1038.969,24.275,-930.475,-1038.619,22.195
-927.822,-1039.089,23.952,-930.568,-1038.551,22.258
-928.761,-1038.733,23.674,-929.302,-1038.877,21.911
-928.740,-1038.835,22.857,-929.586,-1038.855,22.342
-928.793,-1038.824,23.372,-929.368,-1038.897,23.261
-928.711,-1038.817,23.618,-930.068,-1038.695,22.174
-928.764,-1038.842,22.675,-930.109,-1038.703,23.376
-928.806,-1038.796,21.705,-930.092,-1038.738,23.731
-928.741,-1038.733,24.321,-929.225,-1039.042,22.967
-928.709,-1038.809,22.253,-929.965,-1038.700,23.910
-928.773,-1038.780,23.706,-930.544,-1038.579,23.062
-928.709,-1038.875,21.450,-929.263,-1038.923,22.357
-927.924,-1039.049,24.192,-929.981,-1038.762,23.468
-928.711,-1038.792,22.777,-930.547,-1038.560,23.906
-928.752,-1038.752,23.919,-930.620,-1038.569,22.261
-928.133,-1039.020,24.088,-929.653,-1038.790,22.089
-928.774,-1038.771,23.903,-929.370,-1038.852,22.511
-927.850,-1039.106,24.042,-929.846,-1038.745,22.665
-928.756,-1038.789,22.862,-929.391,-1038.886,22.619
-928.788,-1038.814,24.002,-930.175,-1038.714,21.403
-928.713,-1038.822,21.886,-929.349,-1038.862,21.726
-928.770,-1038.805,23.730,-930.583,-1038.560,23.437
-928.690,-1038.805,22.871,-929.774,-1038.807,23.700
-928.436,-1038.936,23.972,-929.689,-1038.797,23.533
-928.401,-1038.817,24.169,-929.800,-1038.735,23.440
-928.609,-1038.825,24.302,-929.992,-1038.704,22.926
-928.715,-1038.863,22.245,-930.518,-1038.617,22.590
-928.426,-1038.905,24.066,-929.389,-1038.922,22.851
-928.562,-1038.867,24.277,-930.188,-1038.658,23.716
-927.875,-1039.067,24.101,-930.539,-1038.613,21.930
-928.746,-1038.776,21.308,-929.441,-1038.856,21.600
-928.748,-1038.735,24.035,-930.602,-1038.615,22.767
-928.738,-1038.810,23.017,-929.265,-1038.874,23.375
-927.995,-1039.011,24.205,-929.371,-1038.856,23.322
-928.741,-1038.755,24.048,-930.243,-1038.652,22.119
-928.739,-1038.796,23.576,-929.266,-1038.910,23.302
-928.014,-1038.981,24.080,-930.135,-1038.685,23.592
-928.776,-1038.755,23.702,-929.395,-1038.951,21.841
-928.011,-1039.032,24.011,-929.803,-1038.803,23.447
-928.791,-1038.845,21.425,-929.798,-1038.760,22.503
-928.734,-1038.826,21.831,-929.233,-1038.942,22.997
-928.763,-1038.711,23.656,-930.026,-1038.702,22.626
-928.724,-1038.842,22.593,-930.127,-1038.702,23.744
-928.793,-1038.809,22.797,-930.381,-1038.630,23.143
-928.790,-1038.767,21.665,-929.386,-1038.880,23.920
-928.764,-1038.811,22.373,-929.870,-1038.773,22.957
-928.760,-1038.812,23.605,-930.164,-1038.658,22.380
-928.550,-1038.824,24.074,-929.534,-1038.846,23.879
-928.728,-1038.774,21.898,-929.496,-1038.824,23.547
-928.700,-1038.760,23.089,-929.887,-1038.741,22.342
-928.126,-1039.061,24.278,-930.014,-1038.710,22.588
-928.770,-1038.765,23.339,-929.613,-1038.802,22.369
-928.658,-1038.835,24.150,-929.860,-1038.759,22.144
-928.782,-1038.795,22.100,-929.990,-1038.723,22.828
-928.740,-1038.757,23.367,-930.209,-1038.653,22.928
-928.738,-1038.789,21.545,-930.112,-1038.663,23.211
-928.529,-1038.898,24.247,-930.113,-1038.722,22.070
-928.700,-1038.844,22.542,-930.266,-1038.654,23.955
-928.742,-1038.787,22.512,-930.421,-1038.613,23.610
-928.683,-1038.860,22.738,-930.110,-1038.672,22.206
-927.988,-1039.031,24.252,-930.352,-1038.626,22.295
-928.795,-1038.722,23.719,-929.368,-1038.964,21.895
-928.739,-1038.780,22.569,-930.301,-1038.644,22.222
-928.702,-1038.819,24.021,-930.132,-1038.656,22.693
-928.799,-1038.854,21.678,-930.612,-1038.676,24.019
-927.898,-1039.022,23.988,-929.358,-1038.870,23.783
-928.793,-1038.782,24.074,-930.272,-1038.636,22.813
-928.726,-1038.828,21.811,-930.331,-1038.658,23.535
-927.891,-1039.062,24.284,-929.441,-1038.880,22.385
-928.795,-1038.741,22.343,-929.279,-1038.840,23.937
-928.749,-1038.824,21.866,-930.478,-1038.596,23.220
-928.772,-1038.830,22.374,-930.367,-1038.660,23.859
-927.849,-1039.095,24.065,-930.097,-1038.699,23.181
-928.708,-1038.778,23.224,-930.436,-1038.590,22.464
-928.714,-1038.834,22.704,-929.886,-1038.723,22.443
-927.919,-1039.093,24.125,-929.630,-1038.798,23.598
-927.887,-1039.040,24.106,-929.501,-1038.848,23.489
-928.736,-1038.722,24.412,-929.604,-1038.813,23.338
-928.682,-1038.746,24.241,-929.310,-1038.843,23.699
-928.704,-1038.825,24.205,-930.505,-1038.575,22.836
-928.212,-1039.002,24.237,-930.236,-1038.653,22.653
-928.768,-1038.823,23.821,-930.318,-1038.630,23.394
-928.751,-1038.795,23.865,-929.574,-1038.875,22.223
-928.766,-1038.815,24.272,-929.539,-1038.821,23.326
-927.923,-1039.073,24.164,-930.582,-1038.577,23.712
-928.760,-1038.763,22.273,-929.638,-1038.792,22.887
-928.458,-1038.885,24.098,-930.220,-1038.665,22.502
-928.752,-1038.756,24.261,-930.610,-1038.626,22.364
-927.869,-1039.022,23.938,-929.857,-1038.739,23.717
-928.409,-1038.932,24.046,-930.147,-1038.719,23.485
-928.791,-1038.779,24.460,-929.730,-1038.769,23.671
-928.775,-1038.802,23.749,-929.320,-1038.909,22.241
-928.773,-1038.810,21.629,-930.644,-1038.621,21.998
-928.025,-1039.002,23.974,-930.409,-1038.579,23.921
-928.797,-1038.772,23.050,-929.863,-1038.761,23.250
-927.878,-1039.049,24.075,-930.073,-1038.691,23.700
-928.708,-1038.777,23.793,-930.017,-1038.718,23.500
-928.250,-1038.877,24.179,-930.123,-1038.723,23.440
-928.679,-1038.902,21.399,-930.463,-1038.621,23.775
-928.802,-1038.776,23.447,-930.532,-1038.557,22.440
-928.808,-1038.777,21.753,-929.869,-1038.748,22.408
-928.719,-1038.814,24.193,-930.455,-1038.604,22.448
-928.717,-1038.764,22.824,-930.601,-1038.547,23.162
-928.706,-1038.804,22.029,-929.334,-1038.911,22.271
-928.208,-1039.025,24.086,-930.577,-1038.538,23.119
-928.790,-1038.780,23.762,-930.451,-1038.629,22.132
-928.752,-1038.823,22.596,-929.633,-1038.771,23.158
-928.692,-1038.718,24.404,-929.367,-1038.884,24.013
-928.733,-1038.758,23.824,-930.394,-1038.611,22.110
-928.697,-1038.793,22.424,-930.025,-1038.695,23.547
-928.241,-1038.984,24.014,-929.579,-1038.818,22.686
-928.291,-1038.994,24.008,-929.527,-1038.819,22.895
-927.986,-1039.021,23.960,-929.465,-1038.820,23.969
-928.788,-1038.819,23.124,-929.529,-1038.825,22.800
-928.674,-1038.825,23.577,-929.870,-1038.727,23.684
-928.749,-1038.769,22.184,-930.513,-1038.574,23.308
-928.788,-1038.784,22.655,-929.791,-1038.772,22.266
-928.803,-1038.769,23.403,-929.549,-1038.875,23.169
-928.660,-1038.806,24.012,-929.887,-1038.729,22.718
-928.762,-1038.785,22.379,-929.563,-1038.853,22.651
-928.694,-1038.821,22.927,-930.530,-1038.539,23.296
-928.765,-1038.780,21.340,-930.464,-1038.580,23.800
-928.704,-1038.798,24.417,-929.967,-1038.707,22.540
-928.785,-1038.758,22.824,-930.104,-1038.669,23.633
-928.750,-1038.793,22.529,-929.364,-1038.860,22.362
-928.740,-1038.837,23.206,-930.371,-1038.657,21.599
-928.784,-1038.746,23.720,-929.706,-1038.800,23.564
-928.203,-1038.995,24.256,-929.996,-1038.775,23.355
-928.589,-1038.911,24.230,-929.489,-1038.888,22.330
-928.721,-1038.816,23.506,-929.459,-1038.843,23.283
-928.700,-1038.771,22.190,-930.409,-1038.599,22.232
-928.771,-1038.809,22.397,-930.251,-1038.647,22.569
-928.751,-1038.766,24.159,-929.679,-1038.828,22.085
-928.222,-1038.924,24.228,-929.569,-1038.844,23.939
-927.966,-1039.095,24.254,-930.532,-1038.599,22.999
-928.730,-1038.752,23.422,-930.442,-1038.602,23.339
-928.729,-1038.783,23.201,-930.252,-1038.661,22.238
-928.795,-1038.803,21.801,-930.600,-1038.551,22.626
-928.729,-1038.805,21.521,-930.021,-1038.689,22.702
-928.659,-1038.884,24.034,-929.474,-1038.835,22.700
